views,link_name,link,publ_time,topic
811,Андрей Лукин победил на выборах в сенат от Астаны вместо выбывшего депутата,https://informburo.kz/novosti/andrej-lukin-pobedil-na-vyborah-v-senat-ot-astany-vmesto-vybyvshego-deputata,"14 января 2023, 16:03",#официально
240,Давка в Южной Корее на Хэллоуин: 23 чиновника обвинили в профессиональной халатности,https://informburo.kz/novosti/davka-v-yuzhnoj-koree-na-hellouin-23-chinovnika-obvinili-v-professionalnoj-halatnosti,"14 января 2023, 15:18",#неонас
1441,"На Алаколе нашли тело водителя, утонувшего вместе с автомобилем",https://informburo.kz/novosti/na-alakole-nashli-telo-voditelya-utonuvshego-vmeste-s-avtomobilem,"14 января 2023, 14:24",#официально
700,В Балхаше водителя арестовали за выезд на трассу в непогоду и неповиновение полиции,https://informburo.kz/novosti/v-balhashe-voditelya-arestovali-za-vyezd-na-trassu-v-nepogodu-i-nepovinovenie-policii,"14 января 2023, 13:53",#видео
1953,Выборы в сенат парламента: предварительные итоги,https://informburo.kz/novosti/vybory-v-senat-parlamenta-predvaritelnye-itogi,"14 января 2023, 13:12",#официально
776,Когда станут доступны места для крещенских купаний в Астане,https://informburo.kz/novosti/kogda-stanut-dostupny-mesta-dlya-kreshhenskix-kupanii-v-astane,"14 января 2023, 12:26",#кстати
1423,"На территории ТЭЦ ""АрселорМиттал Темиртау"" обрушился газоход",https://informburo.kz/novosti/na-territorii-tec-arselormittal-temirtau-obrushilsya-gazohod,"14 января 2023, 11:41",#официально
392,В Казахстане начались выборы в сенат парламента,https://informburo.kz/novosti/v-kazaxstane-nacalis-vybory-v-senat-parlamenta,"14 января 2023, 11:00",#официально
1255,Месси вслед за Роналду может стать игроком саудовского клуба,https://informburo.kz/novosti/messi-vsled-za-ronaldu-mozet-stat-igrokom-saudovskogo-kluba,"14 января 2023, 10:28",#кстати
281,В Казахстане за сутки зарегистрировали 111 случаев заражения коронавирусом,https://informburo.kz/novosti/v-kazahstane-za-sutki-zaregistrirovali-111-sluchaev-zarazheniya-koronavirusom,"14 января 2023, 09:47",#цифра
7649,В пяти городах Казахстана наблюдаются неблагоприятные метеоусловия,https://informburo.kz/novosti/v-pyati-gorodah-kazahstana-nablyudayutsya-neblagopriyatnye-meteousloviya,"14 января 2023, 09:11",#назаметку
9456,Что происходит в Украине. Главное к утру 14 января,https://informburo.kz/novosti/cto-proisxodit-v-ukraine-glavnoe-k-utru-14-yanvarya,"14 января 2023, 08:31",#неонас
1333,В Астане ещё один маршрут продлили до школы,https://informburo.kz/novosti/v-astane-eshhyo-odin-marsrut-prodlili-do-skoly,"14 января 2023, 08:02",#назаметку
10525,РУСАДА заявило об отсутствии вины фигуристки Валиевой в допинг-скандале на Олимпийских играх,https://informburo.kz/novosti/rusada-zayavilo-ob-otsutstvii-viny-figuristki-valievoj-v-doping-skandale-na-olimpijskih-igrah,"14 января 2023, 04:30",#неонас
6319,В Шымкенте солдат-срочник попал в психдиспансер,https://informburo.kz/novosti/v-symkente-soldat-srocnik-popal-v-psixdispanser,"14 января 2023, 00:03",#официально
3658,Узбекистан приостановил автобусное сообщение с Казахстаном,https://informburo.kz/novosti/uzbekistan-priostanovil-avtobusnoe-soobshhenie-s-kazaxstanom,"13 января 2023, 23:05",#неонас
1920,"Пробка из большегрузов скопилась на границе с Китаем. В КГД ответили, когда её ликвидируют",https://informburo.kz/novosti/probka-iz-bolsegruzov-skopilas-na-granice-s-kitaem-v-kgd-otvetili-kogda-eyo-likvidiruyut,"13 января 2023, 22:06",#официально
291,"Токаев принял участие в виртуальном саммите ""Голос глобального Юга""",https://informburo.kz/novosti/tokaev-prinyal-uchastie-v-virtualnom-sammite-golos-globalnogo-yuga,"13 января 2023, 21:05",#официально
938,Прогноз погоды на 14 января: морозы сохраняются на юге Казахстана,https://informburo.kz/novosti/prognoz-pogody-na-14-yanvarya-morozy-sohranyayutsya-na-yuge-kazahstana,"13 января 2023, 21:00",#назаметку
1783,Что происходит в Украине. Главное за день 13 января,https://informburo.kz/novosti/cto-proisxodit-v-ukraine-glavnoe-za-den-13-yanvarya,"13 января 2023, 20:30",#неонас
23334,Съёмки фильма в Алматы: какие улицы перекроют и как будут ходить автобусы,https://informburo.kz/novosti/syomki-filma-v-almaty-kakie-ulicy-perekroyut-i-kak-budut-xodit-avtobusy,"13 января 2023, 20:09",#назаметку
896,"На территории мавзолея Тектурмас в Таразе обнаружили оружие, похищенное из здания полиции",https://informburo.kz/novosti/na-territorii-mavzoleya-tekturmas-v-taraze-obnaruzili-oruzie-poxishhennoe-iz-zdaniya-policii,"13 января 2023, 19:23",#официально
287,Алкоголь и сигареты на 20 млн тенге планировал незаконно продать житель Жезказгана,https://informburo.kz/novosti/alkogol-i-sigarety-na-20-mln-tenge-planiroval-nezakonno-prodat-zitel-zezkazgana,"13 января 2023, 19:14",#цифра
495,Урок игры на домбре с участием 1000 школьников Астаны попал в Книгу рекордов Гиннесса,https://informburo.kz/novosti/urok-igry-na-dombre-s-ucastiem-1000-skolnikov-astany-popal-v-knigu-rekordov-ginnessa,"13 января 2023, 18:47",#кстати
686,База клиентов интернет-магазина стала доступна мошенникам в Астане,https://informburo.kz/novosti/baza-klientov-internet-magazina-stala-dostupna-mosennikam-v-astane,"13 января 2023, 18:08",#официально
709,Алихан Смаилов посетил строящийся микрорайон в Gate City,https://informburo.kz/novosti/alixan-smailov-posetil-stroyashhiisya-mikroraion-v-gate-city,"13 января 2023, 17:52",#фото
860,Правительство США получило более 350 новых сообщений об НЛО,https://informburo.kz/novosti/pravitelstvo-ssa-polucilo-bolee-350-novyx-soobshhenii-ob-nlo,"13 января 2023, 17:46",#неонас
9249,Продолжает укрепляться: в Казахстане установили официальный курс рубля на 14-16 января,https://informburo.kz/novosti/prodolzaet-ukreplyatsya-v-kazaxstane-ustanovili-oficialnyi-kurs-rublya-na-14-16-yanvarya,"13 января 2023, 17:00",#назаметку
857,Где искупаться на Крещение в Астане,https://informburo.kz/novosti/gde-iskupatsya-na-kreshhenie-v-astane,"13 января 2023, 16:52",#назаметку
372,Медиа-ассоциация: Казахоязычные граждане смотрят телевизор вдвое больше остальных,https://informburo.kz/novosti/media-associaciya-kazaxoyazycnye-grazdane-smotryat-televizor-vdvoe-bolse-ostalnyx,"13 января 2023, 16:41",#официально
1553,Попытку купить кресло за 38 млн тенге прокомментировали во дворце культуры Семея,https://informburo.kz/novosti/popytku-kupit-kreslo-za-38-mln-tenge-prokommentirovali-vo-dvorce-kultury-semeya,"13 января 2023, 16:36",#официально
7460,"Ясно и морозно: прогноз погоды на выходные представил ""Казгидромет""",https://informburo.kz/novosti/yasno-i-morozno-prognoz-pogody-na-vyxodnye-predstavil-kazgidromet,"13 января 2023, 12:20",#назаметку
342,"Пожар и взрыв произошли на СТО Актау. Один человек погиб, трое получили ожоги",https://informburo.kz/novosti/pozar-i-vzryv-proizosli-na-sto-aktau-odin-celovek-pogib-troe-polucili-ozogi,"12 января 2023, 22:02",#видео
1051,В МИД Казахстана сделали заявление о теракте в Кабуле,https://informburo.kz/novosti/v-mid-kazaxstana-sdelali-zayavlenie-o-terakte-v-kabule,"12 января 2023, 21:05",#официально
494,"Прогноз погоды на 13 января: на юге сохраняются сильные морозы, на севере и западе немного потеплеет",https://informburo.kz/novosti/prognoz-pogody-na-13-yanvarya-na-yuge-sohranyayutsya-silnye-morozy-na-severe-i-zapade-nemnogo-potepleet,"12 января 2023, 21:00",#назаметку
1295,Что происходит в Украине. Главное за день 12 января,https://informburo.kz/novosti/cto-proisxodit-v-ukraine-glavnoe-za-den-12-yanvarya,"12 января 2023, 20:30",#неонас
8039,Пожар произошёл в жилом доме на проспекте Абая в Алматы,https://informburo.kz/novosti/pozar-proizosyol-v-zilom-dome-na-prospekte-abaya-v-almaty,"12 января 2023, 15:07",#видео
2083,"В Туркменистане проводят реформу, которая может лишить Бердымухамедова-старшего высокого поста",https://informburo.kz/novosti/v-turkmenistane-provodyat-reformu-kotoraya-mozet-lisit-berdymuxamedova-starsego-vysokogo-posta,"12 января 2023, 14:55",#неонас
1024,МВД проверит иностранные авто по завершении легализации 1 июля,https://informburo.kz/novosti/mvd-proverit-inostrannye-avto-po-zaversenii-legalizacii-1-iyulya,"12 января 2023, 14:07",#официально
218,"НПП ""Атамекен"" призывает отменить таможенный сбор за дешёвые товары",https://informburo.kz/novosti/npp-atameken-prizyvaet-otmenit-tamozennyi-sbor-za-desyovye-tovary,"12 января 2023, 10:57",#официально
207,Жители Тараза остались без питьевой воды. Чиновники назвали аварию мелким недостатком,https://informburo.kz/novosti/ziteli-taraza-ostalis-bez-pitevoi-vody-cinovniki-nazvali-avariyu-melkim-nedostatkom,"12 января 2023, 10:47",#видео
902,Главу французской федерации футбола отстранили от должности после слов о Зидане,https://informburo.kz/novosti/glavu-francuzskoi-federacii-futbola-otstranili-ot-dolznosti-posle-slov-o-zidane,"12 января 2023, 10:36",#неонас
13820,Вышедшим на пенсию после 1 января 2018 года повысили выплаты из ЕНПФ на 5%,https://informburo.kz/novosti/vysedsim-na-pensiyu-posle-1-yanvarya-2018-goda-povysili-vyplaty-iz-enpf-na-5,"12 января 2023, 10:15",#цифра
3517,Дело Кайрата Боранбаева: что рассказали свидетели обвинения,https://informburo.kz/novosti/delo-kairata-boranbaeva-cto-rasskazali-svideteli-obvineniya,"11 января 2023, 18:38",#официально
1105,"Мост на шоссе Алаш в Астане треснул по шву, участок перекрыли",https://informburo.kz/novosti/most-na-sosse-alas-v-astane-tresnul-po-svu-ucastok-perekryli,"11 января 2023, 18:31",#видео
1489,Адвокат в суде: За делом Гульмиры Сатыбалды тянется политический шлейф,https://informburo.kz/novosti/advokat-v-sude-za-delom-gulmiry-satybaldy-tyanetsya-politiceskii-sleif,"11 января 2023, 18:05",#официально
919,Министр обороны доложил президенту о состоянии казахстанской армии,https://informburo.kz/novosti/ministr-oborony-dolozil-prezidentu-o-sostoyanii-kazaxstanskoi-armii,"11 января 2023, 17:56",#официально
825,"В Роскосмосе назвали причину повреждения корабля ""Союз МС-22""",https://informburo.kz/novosti/v-roskosmose-nazvali-pricinu-povrezdeniya-korablya-soyuz-ms-22,"11 января 2023, 17:34",#видео
369,Премьер-министр: Мы ожидаем снижение инфляции в марте,https://informburo.kz/novosti/premer-ministr-my-ozidaem-snizenie-inflyacii-v-marte,"11 января 2023, 17:29",#официально
292,Таиланд введёт туристический сбор в девять долларов,https://informburo.kz/novosti/tailand-vvedyot-turisticeskii-sbor-v-devyat-dollarov,"11 января 2023, 17:07",#неонас
22706,"В Отбасы банке ответили вкладчикам, жаловавшимся на приостановку операций по депозитам",https://informburo.kz/novosti/v-otbasy-banke-otvetili-vkladcikam-zalovavsimsya-na-priostanovku-operacii-po-depozitam,"11 января 2023, 17:02",#официально
